+--------+--------------+---------------+-----------+------------+------------+-------------+---------------------+---------------------+----------+------------+-----+----------------+-------------------------+-----------------+---------------------+
| ticker | order_status | current_price | buy_price | sell_price | stop_limit | profit_take |       buy_time      |      sell_time      |   net    | high_price | low | percent_change |        b_strategy       |    s_strategy   |     update_time     |
+--------+--------------+---------------+-----------+------------+------------+-------------+---------------------+---------------------+----------+------------+-----+----------------+-------------------------+-----------------+---------------------+
|  AVGO  |   unfilled   |      None     |  318.685  |    7.85    |    0.0     |     0.0     | 2026-03-17 12:51:09 | 2026-03-17 11:45:49 | 47.0727  |    0.0     | 0.0 |    1.17682     |        CLOSE-ALL        |  LONG-HigherLow |         None        |
|  QQQ   |   unfilled   |      None     |    None   |    5.57    |    0.0     |     0.0     |         None        | 2026-03-17 11:45:49 |   None   |    0.0     | 0.0 |      None      |        CLOSE-ALL        |       None      |         None        |
| GOOGL  |   unfilled   |      None     |    None   |    2.08    |    0.0     |     0.0     |         None        | 2026-03-17 15:18:54 |   None   |    0.0     | 0.0 |      None      |                         |       None      |         None        |
|  AAPL  |   unfilled   |      None     |    None   |    2.62    |    0.0     |     0.0     |         None        | 2026-03-17 15:55:08 |   None   |    0.0     | 0.0 |      None      |        CLOSE-ALL        |       None      |         None        |
|  CVX   |   unfilled   |      None     |    None   |    1.57    |    0.0     |     0.0     |         None        | 2026-03-17 15:55:09 |   None   |    0.0     | 0.0 |      None      |        CLOSE-ALL        |       None      |         None        |
|  SPY   |   unfilled   |      None     |    None   |    5.76    |    0.0     |     0.0     |         None        | 2026-03-17 15:55:09 |   None   |    0.0     | 0.0 |      None      |        CLOSE-ALL        |       None      |         None        |
|  XOM   |   unfilled   |      None     |    None   |    2.24    |    0.0     |     0.0     |         None        | 2026-03-17 15:55:09 |   None   |    0.0     | 0.0 |      None      |        CLOSE-ALL        |       None      |         None        |
|  AVGO  |    closed    |     331.84    |   331.68  |    5.15    |    0.0     |     0.0     | 2026-03-06 09:32:28 | 2026-03-06 09:32:39 | -3937.89 |    0.0     | 0.0 |    -98.4473    | LONG-EMA_9_21_50_STRONG |                 | 2026-03-06 09:32:39 |
|  AVGO  |    closed    |     331.84    |   331.44  |    5.15    |    0.0     |     0.0     | 2026-03-06 09:32:47 | 2026-03-06 09:32:54 | -3937.85 |    0.0     | 0.0 |    -98.4462    | LONG-EMA_9_21_50_STRONG |                 | 2026-03-06 09:32:54 |
